Run,AE1,AE2,AE3,AE4,OIL,WATER,CO,CO2,VEL
5.1000000000000000e+01,2.4327726797781965e+04,6.3746731455295194e+04,9.8405316039886704e+04,9.1181721196780374e+04,4.8585000000000000e-01,1.0326000000000000e+00,1.5246999999999999e-01,1.5246999999999999e-01,7.3333333333333317e-01
5.2000000000000000e+01,2.1626689352907328e+04,7.8765241861596965e+04,1.0065799840225444e+05,9.1805628344343204e+04,4.2314000000000002e-01,1.0783000000000000e+00,1.8168000000000001e-01,1.8173000000000000e-01,7.9696969696969688e-01
5.3000000000000000e+01,2.4126770791211293e+04,6.9332798081441972e+04,7.7270980245655999e+04,8.2844867890061665e+04,4.7315000000000002e-01,1.0365000000000000e+00,1.5611000000000000e-01,1.5634000000000001e-01,7.2575757575757571e-01
5.4000000000000000e+01,2.2732494806361836e+04,5.9777082693669770e+04,9.9550807744338614e+04,7.9011514424413777e+04,4.8414000000000001e-01,1.0244000000000000e+00,1.5326000000000001e-01,1.5326000000000001e-01,9.0757575757575748e-01
5.5000000000000000e+01,2.0478480384946070e+04,5.8174975663562611e+04,7.7968250423579375e+04,8.7685152627740375e+04,4.8557000000000000e-01,1.0260000000000000e+00,1.5395000000000000e-01,1.5398000000000001e-01,9.0454545454545443e-01
5.6000000000000000e+01,2.1262141037183799e+04,7.8346574408366927e+04,8.5057258696535442e+04,7.8653387524468897e+04,4.2283999999999999e-01,1.0799000000000001e+00,1.8292000000000000e-01,1.8337000000000001e-01,8.2575757575757580e-01
5.7000000000000000e+01,2.6724904911855014e+04,7.9857256539943075e+04,8.5360449059413615e+04,7.6000292043861555e+04,1.3774000000000000e-01,1.1605000000000001e+00,4.4283800000000000e-03,4.4295599999999999e-03,2.9090909090909084e-01
5.8000000000000000e+01,2.0774195202391016e+04,6.4553691875816396e+04,9.0821362590301505e+04,8.1439622920110443e+04,4.5184000000000002e-01,1.0558000000000001e+00,1.6855999999999999e-01,1.6858000000000001e-01,9.0909090909090906e-01
5.9000000000000000e+01,2.3946156422315165e+04,7.2660582915622712e+04,7.7761135690603405e+04,7.6227035430809017e+04,4.6899999999999997e-01,1.0432999999999999e+00,1.5983000000000000e-01,1.6020999999999999e-01,7.2121212121212119e-01
6.0000000000000000e+01,2.1129418033608606e+04,6.2143258491613647e+04,8.4845836589983257e+04,9.0282898247800258e+04,4.6155000000000002e-01,1.0443000000000000e+00,1.6349000000000000e-01,1.6352000000000000e-01,9.0757575757575770e-01
