Run,AE1,AE2,AE3,OIL,WATER,CO,CO2,VEL
9.9000000000000000e+01,2.4841936059624859e+04,6.7436466725319697e+04,1.0036559687004249e+05,5.4476000000000002e-01,1.0418000000000001e+00,7.5947399999999998e-02,3.7892999999999999e-01,5.7121212121212117e-01
1.0000000000000000e+02,1.8661881911823817e+04,8.0180425845152931e+04,7.3519433608344130e+04,5.3085000000000004e-01,1.0571999999999999e+00,8.2095299999999996e-02,4.0959000000000001e-01,6.6060606060606053e-01
1.0100000000000000e+02,2.2983921228172399e+04,6.4904217241537212e+04,7.3809616643668400e+04,5.4779000000000000e-01,1.0384000000000000e+00,7.5329999999999994e-02,3.7584000000000001e-01,6.2575757575757585e-01
1.0200000000000000e+02,2.4582875522417136e+04,7.0595560218415150e+04,9.7487375783907744e+04,5.4579000000000000e-01,1.0387999999999999e+00,7.6385099999999997e-02,3.8111000000000000e-01,5.8333333333333326e-01
1.0300000000000000e+02,2.3161184135953394e+04,7.5933730476673984e+04,9.0264458384241894e+04,5.4064000000000001e-01,1.0472999999999999e+00,7.8565399999999994e-02,3.9198000000000000e-01,5.9242424242424241e-01
1.0400000000000000e+02,2.6566919445227177e+04,7.7557922542914719e+04,8.7841305344305249e+04,5.5103999999999997e-01,1.0374000000000001e+00,7.5024999999999994e-02,3.7433000000000000e-01,5.0454545454545452e-01
1.0500000000000000e+02,2.5166340241072445e+04,6.6796557610700882e+04,9.9092923498050077e+04,5.4576999999999998e-01,1.0415000000000001e+00,7.5564300000000001e-02,3.7702000000000002e-01,5.5757575757575750e-01
1.0600000000000000e+02,2.0958073850671062e+04,8.0385717916490874e+04,7.9805732740417923e+04,5.3324000000000005e-01,1.0537000000000001e+00,8.1082600000000005e-02,4.0454000000000001e-01,6.3030303030303036e-01
1.0700000000000000e+02,1.8705225182627357e+04,7.4310549594602926e+04,9.9176537377311935e+04,5.3227000000000002e-01,1.0532999999999999e+00,8.1052799999999994e-02,4.0439000000000003e-01,6.6818181818181810e-01
1.0800000000000000e+02,2.6371178954220130e+04,6.2852926163924094e+04,9.8226546267852056e+04,5.5325999999999997e-01,1.0375000000000001e+00,7.4332200000000001e-02,3.7087999999999999e-01,5.2575757575757576e-01
1.0900000000000000e+02,2.2905171007704317e+04,6.6533594683932082e+04,9.8810881287439086e+04,5.4227999999999998e-01,1.0443000000000000e+00,7.7225799999999997e-02,3.8530999999999999e-01,6.2575757575757585e-01
1.1000000000000000e+02,2.6638004311871679e+04,5.6080130743768241e+04,9.4884747378499509e+04,5.5486999999999997e-01,1.0367999999999999e+00,7.3680999999999996e-02,3.6762000000000000e-01,5.1212121212121209e-01
1.1100000000000000e+02,2.0167976229184980e+04,6.4794169013990511e+04,7.9452398674538519e+04,5.4757000000000000e-01,1.0406000000000000e+00,7.6554600000000000e-02,3.8195000000000001e-01,6.9393939393939397e-01
1.1200000000000000e+02,2.5560600168958113e+04,8.0905046617450978e+04,9.2820776925895043e+04,5.4386999999999996e-01,1.0423000000000000e+00,7.6886099999999999e-02,3.8362000000000002e-01,5.2272727272727271e-01
1.1300000000000000e+02,2.4400470347343486e+04,7.9201509377136143e+04,9.4148468758875184e+04,5.4181000000000001e-01,1.0466000000000000e+00,7.8358499999999998e-02,3.9095999999999997e-01,5.6666666666666654e-01
1.1400000000000000e+02,2.3176825762077558e+04,6.4306691766110125e+04,9.2289319352909079e+04,5.4561000000000004e-01,1.0423000000000000e+00,7.6366000000000003e-02,3.8101000000000002e-01,6.2272727272727268e-01
1.1500000000000000e+02,2.1325775076751939e+04,6.5029801207988901e+04,8.2975551316859943e+04,5.4778000000000004e-01,1.0436000000000001e+00,7.6825599999999994e-02,3.8329999999999997e-01,6.3030303030303036e-01
1.1600000000000000e+02,2.2274830413762589e+04,6.7617207907099815e+04,1.0195606845742682e+05,5.4174000000000000e-01,1.0414000000000001e+00,7.7712400000000001e-02,3.8773999999999997e-01,6.2121212121212122e-01
1.1700000000000000e+02,1.9910833543194047e+04,6.3165685269242109e+04,9.0171620538252158e+04,5.4696999999999996e-01,1.0409999999999999e+00,7.6924999999999993e-02,3.8379999999999997e-01,6.7424242424242431e-01
1.1800000000000000e+02,2.2442078333413127e+04,6.1102534803498813e+04,9.0363159007247756e+04,5.4705999999999999e-01,1.0398000000000001e+00,7.5964599999999993e-02,3.7900000000000000e-01,6.3787878787878793e-01
1.1900000000000000e+02,2.5974029155554301e+04,5.5666265506605137e+04,8.5503902706624984e+04,5.5618999999999996e-01,1.0363000000000000e+00,7.3926099999999995e-02,3.6882999999999999e-01,5.2878787878787881e-01
1.2000000000000000e+02,1.8808344204069206e+04,6.9233047992648935e+04,8.8952049627613684e+04,5.3832000000000002e-01,1.0531999999999999e+00,7.8923499999999994e-02,3.9377000000000001e-01,6.6666666666666663e-01
1.2100000000000000e+02,2.4978954492048219e+04,6.0315768252093323e+04,9.0635281839301009e+04,5.5340000000000000e-01,1.0367000000000000e+00,7.4931300000000006e-02,3.7385000000000002e-01,5.7727272727272727e-01
1.2200000000000000e+02,2.2189780174204978e+04,7.7275110903917579e+04,9.3209088388521996e+04,5.3686000000000000e-01,1.0506000000000000e+00,7.9886899999999997e-02,3.9857999999999999e-01,6.0000000000000009e-01
