"GMT_0" "GMT_1" "GMT_12" "GMT_13" "GMT_14" "GMT_15" "GMT_16" "GMT_17" "GMT_18" "GMT_19" "GMT_20" "GMT_21" "GMT_22" "GMT_23"
4.2102802720886e-05 2.75651521199058e-05 1.38474671721911e-05 1.75140993279859e-06 6.47035166881795e-06 1.24076931838678e-05 2.18634530631674e-05 3.10229617383894e-05 3.91700027889187e-05 4.65217029586275e-05 5.20855962921309e-05 5.59928437193483e-05 5.81786157099077e-05 5.60311326719722e-05
3.87734602151354e-05 2.2488550374846e-05 9.1215311046401e-06 1.16487450699426e-06 6.00625458647712e-06 1.44118554847706e-05 2.41253790274464e-05 3.52998745075067e-05 4.59746902327767e-05 5.73889112853944e-05 6.62480253066596e-05 7.08847689212286e-05 6.98319068935637e-05 6.20995706037661e-05
3.24264257686853e-05 2.13947341573802e-05 1.09650677628827e-05 1.39777635457854e-06 5.36967196984148e-06 1.11507360540395e-05 1.93242130850387e-05 2.81736915806182e-05 3.49791516790542e-05 4.0595913193989e-05 4.42767470634771e-05 4.6941562382308e-05 4.75136984686905e-05 4.47966476902731e-05
2.69652504718515e-05 1.66181511904297e-05 6.73836506483644e-06 8.51968185794701e-07 4.97214226334921e-06 1.11175062803791e-05 2.03426698067688e-05 2.92275762368447e-05 3.46036516409623e-05 3.93064969326286e-05 4.16139626868766e-05 4.31312578723524e-05 4.29450160634153e-05 3.98923134309486e-05
4.19860023407687e-05 2.707317780879e-05 1.40298802710153e-05 1.76240289473253e-06 6.15076676758383e-06 1.24159916132174e-05 2.20774302600306e-05 3.14548150864078e-05 4.07657671045452e-05 4.94490237437598e-05 5.56497334782551e-05 5.97942529371468e-05 6.14828813961018e-05 5.82796816695091e-05
5.49686258710309e-05 3.38734968996402e-05 1.51011760003921e-05 1.78486987483741e-06 7.70559682394523e-06 1.88092833878227e-05 3.17587871578404e-05 4.64586643788831e-05 5.79288235086371e-05 6.79218851828856e-05 7.54491457384836e-05 8.04498397401227e-05 8.17678628796426e-05 7.79877691551917e-05
4.17640957048651e-05 2.56935711567075e-05 1.25499311044005e-05 1.55296870622294e-06 5.80104606361409e-06 1.1784876904302e-05 2.06130115225707e-05 2.98714470159826e-05 3.88952020702338e-05 4.81763270147684e-05 5.57956532546259e-05 6.13560898562299e-05 6.36392160778698e-05 6.06318920550312e-05
4.3748569039516e-05 2.23441102195721e-05 7.90238102919481e-06 9.95021617421724e-07 6.13015609456468e-06 1.57631392947432e-05 2.98330870241414e-05 4.33336269293256e-05 5.65407863739554e-05 7.3567300134811e-05 8.68640421865763e-05 9.46332854537642e-05 9.62282445617968e-05 8.74490987914261e-05
4.67021623311876e-05 2.98835428163997e-05 1.39164162878863e-05 1.7754568382487e-06 7.29128752200913e-06 1.62384558283715e-05 2.79243981443821e-05 3.96718819336684e-05 4.84341014117981e-05 5.63523746326557e-05 6.20617007616006e-05 6.60035521327271e-05 6.72341936052992e-05 6.4009900936913e-05
2.40784568573905e-05 1.62532661509606e-05 8.52602340237142e-06 1.06435189977638e-06 4.15678179222124e-06 8.29093194623762e-06 1.45470058319657e-05 2.06099111542658e-05 2.55294138198991e-05 3.06324488892736e-05 3.42624420916399e-05 3.6745781307099e-05 3.69133783543032e-05 3.41416547737943e-05
