Run,ISC,IS,n,RS,RP,Pmax,dISC,dIS,dn,dRS,dRP
5.4000000000000000e+01,9.6977210485986634e-02,1.3060433544785424e-09,1.8319020369677361e+00,4.4452709022840464e-01,1.3925981684911272e+02,5.8871259109034978e-02,5.8133067200316635e-02,-1.7670303581462932e-02,1.6056716664603066e-02,-1.7390706236186659e-03,3.1734044003695061e-03
5.5000000000000000e+01,1.7793314500317980e-01,5.6519448966982079e-08,1.1097557866280998e+00,2.6187457706061068e-01,2.3809659688062357e+02,5.0739152827390013e-02,2.4726146526099502e-02,-2.0874423418970611e-02,2.5699333092155108e-02,-6.3433373831411899e-03,2.1290409712992897e-04
5.6000000000000000e+01,1.1202989780955747e-01,2.2175529288036839e-09,1.7506295495384552e+00,4.5968722496414560e-01,2.4369999639642336e+02,6.4171807588935093e-02,5.2527151836456731e-02,-2.0590241650575436e-02,1.9225708233761019e-02,-2.5174750617473762e-03,8.6453932901520147e-04
5.7000000000000000e+01,1.8311959991765256e-01,6.1830768543898238e-11,1.2145101152907947e+00,1.8759349261328456e-01,3.1087923461756878e+02,9.5545391830838919e-02,4.7261634744666381e-02,-2.4368029261090385e-02,4.1189533894758767e-02,-7.2375829218707111e-03,4.2506281827670023e-04
5.8000000000000000e+01,1.1537794551909170e-01,3.2212761526264150e-08,1.6910418664200608e+00,5.6562785035428753e-01,2.0440372538573519e+02,5.0594148501892859e-02,3.9049469671703640e-02,-2.0164893303753484e-02,1.6385675198626881e-02,-2.5796927441423811e-03,7.0698855797468596e-04
5.9000000000000000e+01,2.2927937194113640e-01,1.2070637308750081e-07,1.6464072682245174e+00,3.4856375060081418e-01,1.2438706363896129e+02,8.9955491029318199e-02,3.3535202920154106e-02,-3.8971318963576529e-02,3.1216275495071777e-02,-1.0110726422762895e-02,1.4678368243092876e-03
6.0000000000000000e+01,1.0282148752793246e-01,5.8340940690991142e-08,1.2000124257025475e+00,2.8854771460539941e-01,2.9043954833295368e+02,3.1650269201297522e-02,2.8305058810684791e-02,-1.3005450202885349e-02,1.4053960994964143e-02,-2.1143518741384426e-03,1.7764392734598289e-04
6.1000000000000000e+01,1.8545144240957923e-01,9.1716846452190363e-11,1.5401469916902104e+00,4.4577758295829556e-01,2.2785941816388640e+02,1.1318475624915258e-01,5.2653472124020162e-02,-3.0724496183354155e-02,4.0370355197660857e-02,-7.1878812762937727e-03,1.0375024034336988e-03
6.2000000000000000e+01,8.5034747278701722e-02,4.6518425099584655e-11,1.4633284295600939e+00,4.7759372871296363e-01,3.5847861341767697e+02,5.1462415550072749e-02,5.5570891790979182e-02,-1.3300010939798490e-02,1.8182756612861173e-02,-1.5017120671978468e-03,4.4082756889274322e-04
6.3000000000000000e+01,1.3988463182980510e-01,7.1692140218689977e-09,1.6133769162047695e+00,3.1705999571176857e-01,1.3670927194984381e+02,6.8821034787510199e-02,4.5620923525002688e-02,-2.3329695439389120e-02,2.2212689382294926e-02,-3.8247478933994827e-03,2.0665516242690529e-03
6.4000000000000000e+01,1.7597613165036435e-01,5.3734059696427374e-11,1.1895114060570346e+00,4.0194316937727098e-01,9.9012248101836803e+01,8.3196139085558146e-02,4.0996195341258534e-02,-2.1918530115905277e-02,3.8188023743224164e-02,-6.2086127072813468e-03,3.3419306350035427e-03
