run, p_{inf}, M_{inf}, gamma, r1, r2, r3, r4, p_{st}, q_{st}
9.800000e+01, 1.839648e+01, 1.643698e+01, 1.028761e-03, -1.990450e-01, -1.511758e-01, -5.364358e-02, 9.647676e-02, 6.563777e+03, 2.642028e+05
9.900000e+01, 2.385420e+01, 1.653148e+01, 1.356391e-03, -6.511845e-02, 1.480529e-01, -4.737631e-02, 9.273143e-02, 8.664680e+03, 3.507321e+05
1.000000e+02, 1.757314e+01, 1.677993e+01, 1.881494e-03, 4.062546e-02, 1.997747e-01, 1.454565e-01, -6.112844e-02, 6.582306e+03, 3.253720e+05
1.010000e+02, 1.652645e+01, 1.565266e+01, 1.151763e-03, -5.094681e-02, 1.187047e-01, -8.775471e-03, -9.460240e-02, 5.383552e+03, 2.754004e+05
1.020000e+02, 1.951133e+01, 1.621637e+01, 1.790214e-03, 1.379242e-01, 1.695427e-01, 1.335620e-01, -4.007765e-02, 6.764199e+03, 2.593214e+05
1.030000e+02, 2.315608e+01, 1.388540e+01, 1.058042e-03, 5.467982e-03, 2.133065e-01, -2.842775e-02, 3.967161e-02, 5.880469e+03, 1.839792e+05
1.040000e+02, 2.099161e+01, 1.416781e+01, 1.887035e-03, 1.010420e-02, 2.371287e-02, -1.731560e-01, 9.834218e-02, 5.564746e+03, 2.171885e+05
1.050000e+02, 1.907818e+01, 1.527490e+01, 1.621352e-03, 2.049972e-02, 3.720318e-02, -1.070335e-01, 2.020282e-02, 5.903140e+03, 2.658354e+05
1.060000e+02, 2.299023e+01, 1.403473e+01, 1.325169e-03, 6.556552e-02, 1.834021e-02, 9.864432e-02, -3.255592e-02, 5.969673e+03, 1.994236e+05
1.070000e+02, 2.055405e+01, 1.544939e+01, 1.078273e-03, -7.084073e-02, -8.024635e-03, -2.157243e-01, -1.614220e-01, 6.512665e+03, 2.809734e+05
1.080000e+02, 1.991079e+01, 1.536185e+01, 1.943057e-03, 2.340444e-02, 1.248636e-01, 1.111020e-03, -7.656228e-03, 6.247769e+03, 2.990532e+05
1.090000e+02, 1.714803e+01, 1.667460e+01, 1.566424e-03, -4.282183e-02, -2.613460e-01, 8.073187e-02, -4.913017e-02, 6.321461e+03, 2.880049e+05
1.100000e+02, 1.944475e+01, 1.465223e+01, 1.572732e-03, -2.555369e-01, -1.715883e-01, -5.581826e-03, 8.060214e-02, 5.552184e+03, 2.861251e+05
1.110000e+02, 1.634718e+01, 1.469747e+01, 1.203090e-03, -1.690425e-02, -1.451294e-01, 8.933623e-02, -1.350366e-01, 4.693256e+03, 2.534908e+05
1.120000e+02, 1.645013e+01, 1.451918e+01, 1.772246e-03, 9.635541e-02, 1.865642e-03, 9.227992e-03, -4.783948e-03, 4.614088e+03, 2.631913e+05
1.130000e+02, 1.830765e+01, 1.651840e+01, 1.580532e-03, 4.224462e-02, 9.771565e-02, -8.999221e-02, 2.158129e-01, 6.610937e+03, 2.800605e+05
1.140000e+02, 1.895763e+01, 1.648596e+01, 1.847760e-03, 6.978418e-02, 7.688577e-02, 1.780590e-02, -3.026541e-02, 6.817054e+03, 2.886064e+05
1.150000e+02, 1.858692e+01, 1.679539e+01, 1.862825e-03, -8.820561e-02, -1.946519e-01, 2.153192e-02, -1.244747e-01, 6.965641e+03, 3.266476e+05
1.160000e+02, 1.816870e+01, 1.699125e+01, 1.775598e-03, -7.042209e-03, 1.095855e-01, 3.869904e-02, 1.118867e-01, 6.994742e+03, 3.582821e+05
1.170000e+02, 1.887285e+01, 1.637002e+01, 1.537540e-03, 3.447715e-01, 1.058009e-01, -3.128045e-02, -2.348601e-02, 6.667243e+03, 2.564047e+05
1.180000e+02, 1.697698e+01, 1.665827e+01, 1.259648e-03, 1.035311e-01, -3.561753e-01, -4.446298e-02, -1.693995e-01, 6.209655e+03, 2.429656e+05
1.190000e+02, 1.737164e+01, 1.379464e+01, 1.694950e-03, -4.381122e-02, -8.254524e-02, 1.931321e-01, 8.885947e-02, 4.335059e+03, 1.563368e+05
1.200000e+02, 2.169160e+01, 1.703239e+01, 1.185873e-03, 1.318043e-01, -1.485458e-02, -2.413215e-01, -5.563662e-02, 8.379308e+03, 3.657038e+05
1.210000e+02, 2.109734e+01, 1.490559e+01, 1.539653e-03, -7.883236e-02, -1.314659e-01, 3.213020e-03, -1.812551e-01, 6.195031e+03, 2.466955e+05
1.220000e+02, 2.190189e+01, 1.705022e+01, 1.066044e-03, -6.458162e-02, -2.938827e-02, 9.125015e-03, 3.392140e-02, 8.494472e+03, 3.812161e+05
1.230000e+02, 1.972503e+01, 1.393115e+01, 1.098325e-03, -1.753408e-02, 6.280703e-02, 1.841576e-02, 4.477154e-02, 5.063001e+03, 1.996046e+05
1.240000e+02, 2.142016e+01, 1.462823e+01, 1.201919e-03, 1.085057e-01, 1.968715e-02, -2.141539e-02, -6.725486e-03, 6.067835e+03, 2.514503e+05
1.250000e+02, 1.935635e+01, 1.677491e+01, 1.033207e-03, -1.603259e-01, -1.526435e-01, 4.222734e-02, -1.294353e-01, 7.238893e+03, 3.129485e+05
1.260000e+02, 1.993340e+01, 1.606659e+01, 1.324015e-03, 1.207277e-01, -6.698794e-02, -6.592315e-02, -1.356336e-02, 6.842795e+03, 3.433809e+05
1.270000e+02, 1.708408e+01, 1.416519e+01, 1.188767e-03, 2.022433e-01, -1.507418e-01, 3.910116e-02, 1.956273e-02, 4.539208e+03, 2.077804e+05
1.280000e+02, 2.314411e+01, 1.474472e+01, 1.510249e-03, -3.382938e-02, -6.484409e-02, -1.281806e-01, 3.912337e-03, 6.661021e+03, 2.721296e+05
1.290000e+02, 2.095056e+01, 1.647221e+01, 1.467556e-03, -8.921143e-02, 2.459412e-03, 1.314859e-01, 7.344740e-02, 7.550602e+03, 3.215113e+05
1.300000e+02, 1.829082e+01, 1.437712e+01, 1.211312e-03, -6.243018e-02, -1.453595e-01, 2.180255e-03, -8.473559e-03, 5.006049e+03, 2.254071e+05
1.310000e+02, 2.122575e+01, 1.534227e+01, 1.493524e-03, 9.937362e-02, -1.248462e-01, 1.102069e-01, 1.635286e-02, 6.644964e+03, 3.003483e+05
1.320000e+02, 2.002061e+01, 1.429606e+01, 1.692948e-03, -1.701972e-01, -1.596375e-01, 1.253685e-01, 3.048927e-02, 5.418051e+03, 2.333632e+05
1.330000e+02, 2.381056e+01, 1.600651e+01, 1.610397e-03, 1.931153e-03, -2.184026e-02, -8.892994e-02, 9.712003e-02, 8.079246e+03, 3.354697e+05
1.340000e+02, 1.735879e+01, 1.576688e+01, 1.179443e-03, 2.257456e-01, -1.181050e-02, -4.255973e-02, 3.439151e-02, 5.730587e+03, 2.903087e+05
1.350000e+02, 2.101322e+01, 1.444612e+01, 1.024074e-03, -3.189123e-03, 9.782777e-02, -1.620564e-02, 7.125504e-03, 5.815357e+03, 2.535084e+05
1.360000e+02, 1.740987e+01, 1.640149e+01, 1.256933e-03, -2.421352e-01, -5.566266e-02, -9.980927e-02, 7.903166e-02, 6.193119e+03, 2.800300e+05
1.370000e+02, 2.309438e+01, 1.481996e+01, 1.497788e-03, 1.552234e-01, 3.129248e-02, -9.023877e-02, -2.341392e-01, 6.708514e+03, 2.517703e+05
