,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
25,1000.58095362,925.114529149,395.21895294,402.890259502,413.678149525,439.907151487,464.60916135,487.536851617,527.486083331,584.784472214,582.780200039,543.814541249,514.786276441,491.444427509,446.134669302,431.761203383,416.675918148,400.093650718,380.909792718,326.267424675,63.0905766107
26,999.815352424,944.039569699,435.044878146,409.365657161,419.694059653,445.01643587,468.993940801,491.326761498,530.518411788,590.307148537,594.214289178,563.54313659,539.350531885,520.750607298,488.944239344,480.492026546,472.580276724,464.993390679,457.546506132,442.379364762,415.857286423
27,1000.08942595,941.70013172,417.598044909,409.677669394,420.478249658,446.809428231,471.692282131,494.884045182,535.658527301,596.65893006,597.461124165,561.575149457,529.825242404,502.647523674,441.776442455,418.405336289,390.332541813,353.59225014,299.83510901,30.9709596334,0.0999999084916
28,999.848186251,965.178817948,486.284248606,437.335461698,447.680579421,473.069774012,497.205183366,519.840564226,560.192335304,626.315679994,640.401699397,626.003202131,600.786716824,579.8239696,540.296994798,528.584516333,516.905923153,504.8708489,492.036559836,461.477965732,381.694271145
29,999.384054646,970.772450184,582.857272176,442.46665407,451.077987535,473.348344302,495.064650403,515.558419963,552.112668477,613.317246269,625.946639569,590.043751463,563.833344205,543.372013921,506.615260518,496.151047838,485.928480487,475.627346098,464.915502849,440.589009564,384.641651088
30,1000.26517988,941.909541201,420.127132917,409.933090347,420.639439012,446.744786415,471.392954894,494.331410411,534.547854968,594.780470697,598.176674524,564.935441102,534.901249054,509.174849632,452.444371754,431.265051179,406.400316856,374.86949533,330.776046532,124.8875817,0.099999988658
31,999.778737777,945.292561063,432.047753352,410.368109425,420.854246674,446.499736188,470.744971564,493.306323305,532.815618278,591.688917421,592.894630691,543.699789663,503.245333724,464.594653413,342.048469614,263.520972655,115.92409255,0.0999995864938,0.0999995864938,0.0999995864938,0.0999995864938
32,998.892759066,940.319817342,424.973404087,410.438779233,420.843487988,446.244857113,470.262679588,492.653531681,532.074396561,592.586017103,595.54187828,560.335640968,529.615858488,503.0871216,442.805701896,419.332413217,390.889821617,353.251888469,297.329907669,14.4856400226,0.0999999579761
33,997.877785675,933.420152249,426.058568923,409.004230023,419.055023697,443.620615007,466.816060839,488.373702502,526.101970323,583.461302079,585.758875382,547.67542429,521.295204136,501.040048056,465.604790876,455.830432204,446.45667332,437.207712169,427.820476295,407.457309535,365.876297304
34,999.035406489,963.188962223,555.921227705,440.064729134,449.01915276,471.949889827,494.15078998,514.97017212,551.678475533,610.26646062,618.148570848,586.555916875,566.503497545,552.316990646,531.493119544,526.948865811,523.148639009,519.933714181,517.187098548,512.767079714,508.008400655
